Unnamed: 0,imgs,masks
0,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_01.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_01.png
1,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_02.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_02.png
2,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_03.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_03.png
3,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_04.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_04.png
4,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_05.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_05.png
5,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_06.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_06.png
6,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_07.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_07.png
7,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_08.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_08.png
8,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_09.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_09.png
9,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_10.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_10.png
10,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_11.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_11.png
11,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_12.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_12.png
12,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_13.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_13.png
13,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_14.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_14.png
14,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_15.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_15.png
15,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_16.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_16.png
16,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_17.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_17.png
17,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_18.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_18.png
18,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_19.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_19.png
19,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_20.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_20.png
20,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_21.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_21.png
21,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_22.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_22.png
22,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_23.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_23.png
23,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_24.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_24.png
24,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_25.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_25.png
25,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_26.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_26.png
26,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_27.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_27.png
27,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_28.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_28.png
28,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_29.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_29.png
29,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_30.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_30.png
30,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_31.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_31.png
31,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_32.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_32.png
32,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_33.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_33.png
33,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_34.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_34.png
34,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_35.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_35.png
35,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_36.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_36.png
36,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_37.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_37.png
37,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_38.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_38.png
38,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_39.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_39.png
39,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_40.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_40.png
40,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_41.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_41.png
41,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/img/case5063_42.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5063/mask_anatomy_inst/case5063_42.png
